,Name,Description,URL,Papers,Discipline,Underlying Approach,Cost,Supports,Highest Citation Count,Website status
106,Sysrev,"A web-based platform, Sysrev facilitates a range of document-review types, from pure data curation projects to systematic reviews. Sysrev’s Label system enables flexibility in how users screen, tag, annotate, & sort documents and extract data. Articles can be uploaded via .XML, .RIS, and .PDF file types or via Sysrev’s native Pubmed and ClinicalTrials.gov searches. Sysrev BASIC is a 100% Free subscription that enables users to create unlimited Public projects, utilize the BASIC Label set, and invite as many reviewers as their projects require. Sysrev BASIC users also have access to Sysrev’s machine learning models. Additional functionality and unlimited Private projects are available for $10 USD/month.",http://sysrev.com/,"{'Sysrev: A FAIR Platform for Data Curation and Systematic Evidence Review': {'url': 'https://www.frontiersin.org/articles/10.3389/frai.2021.685298/full', 'ss_id': '0359f585182eab15ca602b02f380d7a624c1502b', 'citation_count': 0}}",['Multidiscipline'],"['Visualization', 'Text Mining', 'Visual Text Mining', 'Whole Process', 'Ontology', 'Search Tool', 'Machine Learning', 'Data Mining', 'Visual Data Mining', 'Other']",['Free Version Available'],"['Protocol Development', 'Automated Search', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Automated Analysis', 'Text Analysis', 'Meta Analysis', 'Collaboration', 'Document Management']",0.0,200
107,dmetar,"R package to facilitate conducting meta-analyses in R using the meta, metafor, netmeta and metaSEM packages, focusing on first time R users in the biomedical field and psychology. Provides tools for various stages of the systematic review process, e.g. visualizing the risk of bias, standard inverse variance meta-analysis, network meta-analysis, three-level meta-analysis, exploration of between-study heterogeneity. Serves as companion R package to the online, open-access guide ""Doing Meta-Analysis in R"", providing in-depth, real-world examples on how to conduct systematic reviews/meta-analyses in R (for first time R users), including extensive documentation of dmetar functions.",https://dmetar.protectlab.org/,{},['Healthcare'],"['Visualization', 'Whole Process', 'Other']",['Completely Free'],"['Quality Assessment', 'Data Extraction', 'Meta Analysis', 'Report Write Up']",,200
108,Weka,"A collection of machine learning algorithms for data mining tasks. Weka contains tools for data pre-processing, classification, refression, clustering, association rules and visualization.",http://www.cs.waikato.ac.nz/ml/weka/index.html,"{'A new algorithm for reducing the workload of experts in performing systematic reviews.': {'url': 'http://www.ncbi.nlm.nih.gov/pubmed/20595313', 'ss_id': '2c8a79f8c0314f4257ac859d3b62b629ae4d5d2d', 'citation_count': 78}}",['Multidiscipline'],"['Visualization', 'Machine Learning', 'Data Mining', 'Visual Data Mining']",['Completely Free'],['Automated Analysis'],78.0,200
109,R.ROSETTA: an interpretable machine learning framework,R.ROSETTA is an R package for the construction and analysis of machine learning rule-based classifiers. It provides additional functions for statistics and visualisation of data. ,https://github.com/komorowskilab/R.ROSETTA,{},['Multidiscipline'],['Machine Learning'],['Completely Free'],['Automated Analysis'],,200
110,FLC 3.0 critical appraisal tools,"FLC 3.0 critical appraisal platform is a web-based application designed to facilitate the process of critical appraisal and synthesis of evidence. It contains several critical appraisal tools for assessing different study designs, and it automatically generates evidence tables based on the entered data. ",http://www.lecturacritica.com/en/,{},['Healthcare'],['Other'],['Completely Free'],['Quality Assessment'],,200
111,PubVenn,PubVenn enables you to explore PubMed using venn diagrams. Enter any multi-term search to see the relative size of the citation set for each term as well as how those sets interact. ,https://pubvenn.appspot.com/,{},['Healthcare'],"['Visualization', 'Search Tool']",['Completely Free'],"['Protocol Development', 'Automated Search']",,200
112,RefWorks,A web-based commercial reference management tool.,https://www.refworks.com/refworks2/,{},['Multidiscipline'],['Reference Management'],"['Free Trial', 'Payment Required']",['Document Management'],,200
113,Data Abstraction Assistant (DAA),"Data Abstraction Assistant (DAA) has been developed to assist with data extraction by linking extracted data with the exact source and therefore facilitating verification of extracted data and providing an audit trail that is crucial to reproducible research.  DAA is compatible with a variety of data extraction systems, including SRDR, Covidence, and DistillerSR.  DAA functions by: (1) converting source documents from PDF to HTML format, (2) transmitting the HTML to the data extraction system, and (3) displaying the HTML in an area adjacent to the data extraction form in the data extraction system.",https://bitbucket.org/cebmbrown/daa/overview,"{'Features and functioning of Data Abstraction Assistant, a software application for data abstraction during systematic reviews': {'url': 'https://onlinelibrary.wiley.com/doi/10.1002/jrsm.1326', 'ss_id': '6b2cfd8fe8c559734522e7c2e43708626f772a80', 'citation_count': 6}}",['Healthcare'],['Data Mining'],['Completely Free'],['Data Extraction'],6.0,200
114,Manuscript Matcher,"Provided as a part of Endnote Online, Manuscript Matcher uses the title, abstract, and (optional) included studies / reference list of your manuscript to suggest a handful of potential journals to which to submit.",http://endnote.com/product-details/manuscript-matcher,{},['Multidiscipline'],['Other'],['Completely Free'],['Report Write Up'],,200
115,Covidence,"A web-based software platform that streamlines the production of systematic reviews, including Cochrane Reviews. Citation screening, Full text review, Risk of Bias assessment, Extraction of study characteristics and other study data, Export of data into RevMan. Nonprofit organization, open source software",http://www.covidence.org/,"{'Systematic Reviews: Work that needs to be done and not to be done': {'url': 'http://onlinelibrary.wiley.com/doi/10.1111/jebm.12072/full', 'ss_id': '547d9e4fad9cd154bc632e0a0d611bc346027bf7', 'citation_count': 21}}",['Healthcare'],['Whole Process'],['Payment Required'],"['Study Selection', 'Quality Assessment', 'Data Extraction', 'Collaboration', 'Document Management']",21.0,403
116,Menoci,"Menoci is a modular web portal software for data collection, experiment documentation, data publication, sharing, and preservation in biomedical research projects. Menoci modules are based on the Drupal content management system which enables lightweight deployment and setup, and creates the possibility to combine research data management with a customisable project home page or collaboration platform.",https://menoci.io/home.html,"{'Menoci - lightweight extensible web portal enhancing data management for biomedical research projects': {'url': 'https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-03928-1', 'ss_id': 'a091730b07672f9044bc245508e9fcf32c62c258', 'citation_count': 1}}",['Healthcare'],['Whole Process'],['Completely Free'],"['Collaboration', 'Document Management']",1.0,200
117,Drug Herb Interaction Query Website,Drug Herb Interaction is a bilingual website with a validated database for Herb and Western medicine interactions.,https://drug-herb-interaction.netlify.app/,"{'Constructing a bilingual website with validated database for Herb and Western medicine interactions using Ginseng, Ginkgo and Dong Quai as examples': {'url': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6881993/', 'ss_id': '60489af5dbe19eabbeec94e5c8c5a3758b65555e', 'citation_count': 1}}",['Healthcare'],['Ontology'],['Completely Free'],['Automated Search'],1.0,200
118,Carrot2,"Carrot2 is an Open Source Search Results Clustering Engine. It can automatically organise relatively small collections of documents (search results) into thematic categories.  Carrot2 algorithms perform in-memory clustering and should successfully deal with up to a thousand of documents, of a few paragraphs each.",http://project.carrot2.org/,{},['Multidiscipline'],"['Text Mining', 'Search Tool']",['Completely Free'],"['Automated Search', 'Text Analysis']",,200
119,Inciteful.xyz,"Inciteful uses citations to search through academic literature and surface the most relevant articles.  You can start the search with a single paper or upload a BibTex file to kick off a lit review. Once you are done, you can download your results into a BibTex file.",https://inciteful.xyz/,{},['Multidiscipline'],['Search Tool'],['Completely Free'],['Automated Search'],,200
120,Nested-Knowledge,"Nested Knowledge is transforming the process and impact of systematic review with automations and augmentations of the review process and visualizing the results in interactive web-based meta-analyses. 
Two tools in one platform. Streamline your literature review in AutoLit, which enables you to complete every step—search, screen, tag, and extract—using best practices in a single platform. Maintain your 'living' body of evidence by automatically integrating new clinical data as it becomes available. After building your living review in AutoLit, share your results with the world! Through Synthesis, you can present qualitative breakouts of the common concepts from studies, quantitative meta-analysis of patient outcomes, and narrative summaries of your findings. As with AutoLit, Synthesis is updated in real time, so it serves as the one-stop portal to your living systematic review.",https://nested-knowledge.com/,{},['Healthcare'],"['Visualization', 'Whole Process', 'Other']",['Free Version Available'],"['Automated Search', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Meta Analysis', 'Report Write Up', 'Collaboration', 'Document Management']",,200
121,Mendeley,A reference manager and academic social network that helps organise research and collaborate with others online.,http://www.mendeley.com/,{},['Multidiscipline'],['Reference Management'],['Free Version Available'],"['Collaboration', 'Document Management']",,200
122,Systematic Review Data Repository (SRDR),An open collaborative web-based repository of systematic review data.,http://srdr.ahrq.gov/,"{'A Web-based archive of systematic review data': {'url': 'http://www.biomedcentral.com/content/pdf/2046-4053-1-15.pdf', 'ss_id': '38317936fec012a56e6040e65d9cfb37c3e10a45', 'citation_count': 54}}",['Healthcare'],['Search Tool'],"['Completely Free', 'Free Version Available']",['Data Extraction'],54.0,200
123,BERT,"BERT (Bidirectional Encoder Representations from Transformers) is a tool developed by researchers at Google AI Language. BERT is a machine learning tool that can be used in a wide variety of NLP tasks, including Question Answering, Natural Language Inference, and others.",https://github.com/google-research/bert,"{'BERT: Pre-training of Deep Bidirectional Transformers for\nLanguage Understanding': {'url': 'https://arxiv.org/pdf/1810.04805.pdf', 'ss_id': 'df2b0e26d0599ce3e70df8a9da02e51594e0e992', 'citation_count': 21994}}",['Healthcare'],['Text Mining'],['Completely Free'],['Text Analysis'],21994.0,200
124,BEST (Biomedical Entity Search Tool),"BEST is a next-generation biomedical entity search tool for knowledge discovery in PubMed. BEST utilizes text-mining approaches to extract biomedical entities from PubMed abstracts. Using a novel indexing and scoring scheme, BEST indexes 10 different types of biomedical entities (e.g., genes, diseases, drugs, targets, transcription factors, miRNAs, and mutations) from the entire PubMed corpus. BEST processes users’ free text queries and returns up-to-date results in real time.  Results are displayed by relevance and categorised by entity, meaning results can be navigated, allowing for quick scoping of the literature and the potential to prioritise results for screening.",http://best.korea.ac.kr/,"{'BEST: Next-Generation Biomedical Entity Search Tool for Knowledge Discovery from Biomedical Literature': {'url': 'http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164680', 'ss_id': '820f1f8455ee8e5022ffc82d37de30dcba447256', 'citation_count': 64}}",['Healthcare'],"['Text Mining', 'Search Tool']",['Completely Free'],['Automated Search'],64.0,200
125,GRADEpro,Gradeprofiler is an extension to RevMan for creating a Summary of Findings (SoF) table.,https://gradepro.org/,{},['Healthcare'],['Visualization'],"['Completely Free', 'Free Version Available']","['Automated Analysis', 'Report Write Up']",,200
126,BibDesk,"An open source reference management software package for Mac OS X with, primarily, a BibTeX front-end for use with LaTeX.",http://bibdesk.sourceforge.net/,{},['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']",['Document Management'],,200
127,Health Assessment Workspace Collaborative (HAWC),"HAWC is a modular, content management system designed to store, display, and synthesize multiple data sources for the purpose of producing human health assessments of chemicals. This online application documents the overall workflow of developing an assessment, from literature search and systematic review, to data extraction (human epidemiology, animal bioassay, and in vitro assay), dose-response analysis, and finally evidence synthesis and visualization.",https://hawcproject.org/assessment/public/,"{'Software Tools to Facilitate Systematic Review Used for Cancer Hazard Identification': {'url': 'https://ehp.niehs.nih.gov/doi/10.1289/EHP4224', 'ss_id': '04da806ae7baf7b05049496bc18bc8e83219f039', 'citation_count': 17}}",['Healthcare'],"['Visualization', 'Search Tool', 'Reference Management', 'Other']",['Completely Free'],"['Study Selection', 'Quality Assessment', 'Data Extraction', 'Meta Analysis']",17.0,200
128,Graph Commons,"A collaborative platform for mapping, analyzing and publishing data networks.",https://graphcommons.com/,{},['Multidiscipline'],"['Data Mining', 'Visual Data Mining']",['Free Version Available'],"['Automated Analysis', 'Report Write Up', 'Collaboration']",,200
129,OpenMetaAnalyst,"Open-source, cross-platform software for advanced meta-analysis.",http://www.cebm.brown.edu/openmeta/index.html,"{'Closing the Gap between Methodologists and End-Users: R as a Computational Back-End': {'url': 'http://www.jstatsoft.org/v49/i05/paper', 'ss_id': '09a67730377586a009d440daa6a9ba8f622700b5', 'citation_count': 614}}",['Multidiscipline'],['Other'],"['Completely Free', 'Free Version Available']",['Meta Analysis'],614.0,200
130,Confidence Interval Calculator,"An Excel spreadsheet that can be used to calculate confidence intervals for a mean, the difference between two means, a proportion or odds, comparisons of two proportions (the absolute risk reduction, number needed to treat, relative risk, relative risk reduction and odds ratio), sensitivity, specificity and two-level likelihood ratios.",http://www.pedro.org.au/english/downloads/confidence-interval-calculator/,{},['Healthcare'],['Other'],['Completely Free'],['Meta Analysis'],,404
131,cTAKES (clinical Text Analysis and Knowledge Extraction System),"cTAKEs is an open-source natural language processing system for information extraction.  It was designed to mine electronic medical record clinical free-text, but can also be used for full text journal articles and abstracts, for example from PubMed. cTAKES builds on existing open-source technologies—the Unstructured Information Management Architecture framework and OpenNLP natural language processing toolkit. Its components, specifically trained for the clinical domain, aim to create rich linguistic and semantic annotations. ",http://ctakes.apache.org/,"{'Mayo clinical Text Analysis and Knowledge Extraction System (cTAKES): architecture, component evaluation and applications': {'url': 'https://academic.oup.com/jamia/article/17/5/507/830823', 'ss_id': '1499644704aa9e9321277d587fc015dff2931980', 'citation_count': 1435}, 'Natural language processing (NLP) tools in extracting biomedical concepts from research articles: a case study on autism spectrum disorder': {'url': 'https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-020-01352-2', 'ss_id': 'aa448411bd6470f824e57796e5e0038103d649d7', 'citation_count': 2}}",['Healthcare'],['Text Mining'],['Completely Free'],['Text Analysis'],1435.0,200
132,Coremine Medical,Coremine presents search results as a graphic network that describes relationships discovered through text-mining. Relationship networks provide an overview of a topic by clustering important terms. The network is also a navigational tool that can help searchers explore concepts related to their search term (the graphic is hyperlinked to source information). The text records indexed are those comprising the MEDLINE database (i.e. titles and abstracts contained in PubMed).,https://www.coremine.com/,{},['Healthcare'],"['Visualization', 'Text Mining', 'Visual Text Mining', 'Search Tool']",['Completely Free'],"['Protocol Development', 'Automated Search']",,200
133,Polyglot Search,"Part of the Systematic Review Accelerator (SRA) tool developed by Bond University, Polyglot Search allows you to enter a PubMed or Ovid MEDLINE search query which is then automatically translated into strategies for multiple databases: PubMed/Ovid MEDLINE, Cochrane Library, Embase, Web of Science, CINAHL, PsycINFO, Scopus.  The translated search strategies can then be copied and pasted into the relevant database search boxes.",https://sr-accelerator.com/#/polyglot,"{'The Polyglot Search Translator (PST): evaluation of a tool for improving searching in systematic reviews: a randomised cross-over trial': {'url': 'https://abstracts.cochrane.org/2018-edinburgh/polyglot-search-translator-pst-evaluation-tool-improving-searching-systematic-reviews', 'ss_id': '60a068233d38974693530fd44fe3b0f60a1c58fd', 'citation_count': 2}}",['Healthcare'],['Search Tool'],['Completely Free'],['Automated Search'],2.0,200
134,GSscraper,"GSscraper is a tool for scraping search results from Google Scholar as part of systematic review searches. It is an R package that outputs a dataframe containing search results, including DOIs when provided inside the publisher URL and summary descriptions as seen in the search results.",https://www.eshackathon.org/software/GSscraper.html,{},['Multidiscipline'],['Search Tool'],['Completely Free'],"['Automated Search', 'Document Management']",,200
135,Trip Rapid Reviews,A feature of the Trip database that rapidly 'examines' multiple controlled trials and to attempt to approximate the effectiveness of an intervention.,http://blog.tripdatabase.com/2013/10/trip-rapid-reviews-systematic-reviews.html,{},['Healthcare'],['Search Tool'],['Completely Free'],"['Automated Search', 'Automated Analysis', 'Meta Analysis']",,200
136,PubMed2XL,A Microsoft Windows and Linux application that can convert PubMed.gov citations to Excel or OpenOffice spreadsheets,http://blog.humaneguitarist.org/projects/pubmed2xl/#Introduction,"{'PubMed2XL (version 2.01)': {'url': 'http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4722658/', 'ss_id': 'b1e4c3559d5d56e773b3e5453a0425c1fc279c81', 'citation_count': 7}}",['Healthcare'],"['Reference Management', 'Other']",['Completely Free'],"['Automated Analysis', 'Document Management']",7.0,200
137,KBibTeX,"Reference management software primarily for BibTeX, typically used in conjunction with TeX/LaTeX.",https://apps.kde.org/kbibtex/,{},['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']",['Document Management'],,200
138,VOSViewer,"VOSviewer is a software tool for constructing and visualizing bibliometric networks. These networks may for instance include journals, researchers, or individual publications, and they can be constructed based on co-citation, bibliographic coupling, or co-authorship relations. VOSviewer also offers text mining functionality that can be used to construct and visualize co-occurrence networks of important terms extracted from a body of scientific literature.",http://www.vosviewer.com/,"{'Citation-based clustering of publications using CitNetExplorer and VOSviewer': {'url': 'https://link.springer.com/article/10.1007/s11192-017-2300-7', 'ss_id': 'f3782c403afee5d154f8fd72ca7a375abae341e8', 'citation_count': 305}}",['Multidiscipline'],"['Visualization', 'Text Mining', 'Visual Text Mining', 'Search Tool']",['Completely Free'],"['Automated Search', 'Text Analysis']",305.0,200
139,MetaXL,An add-in for meta-analysis in Excel. It supports all major meta-analysis methods.,http://www.epigear.com/index_files/metaxl.html,{},['Healthcare'],['Other'],['Completely Free'],['Meta Analysis'],,200
140,NetMetaXL,Free Excel-based tool to run and critically appraise network meta-analyses.,http://www.netmetaxl.com/index.html,"{'A Microsoft-Excel-based tool for running and critically appraising network meta-analyses—an overview and application of NetMetaXL': {'url': 'http://www.systematicreviewsjournal.com/content/3/1/110', 'ss_id': '7d5a5bdbb3716ca0f448ceb00647693620793d3d', 'citation_count': 140}}",['Healthcare'],['Other'],"['Completely Free', 'Free Version Available']","['Quality Assessment', 'Meta Analysis']",140.0,200
141,PubMed PICO Tool,"The PubMed PICO tool is a quick way of searching PubMed, where you simply enter the population and intervention, plus comparator and/or outcome if appropriate (these are optional fields).  You can also select the type of publications you are interested in, for example RCTs or systematic reviews.  May be useful for scoping searches to find key studies and to get an idea of the potential size of the evidence base.  Would not be recommended for fully comprehensive searches for systematic reviews as the searcher has no control or evidence of the search strategy for reporting purposes.",https://pubmedhh.nlm.nih.gov/nlmd/pico/piconew.php,"{'A Review of the PubMed PICO Tool: Using Evidence-Based Practice in Health Education': {'url': 'https://journals.sagepub.com/doi/abs/10.1177/1524839919893361?journalCode=hppa', 'ss_id': 'c0dd98a11353ca22e098e8b9146a5c1a00e23061', 'citation_count': 9}}",['Healthcare'],['Search Tool'],['Completely Free'],"['Protocol Development', 'Automated Search']",9.0,200
142,Gephi,Open source visualization and exploration software for all kinds of graphs and networks,https://gephi.org/,"{'Gephi: An Open Source Software for Exploring and Manipulating Networks': {'url': 'http://www.aaai.org/ocs/index.php/ICWSM/09/paper/viewFile/154/1009/', 'ss_id': '3149a915f738f044778e3decdb4278e2bad17808', 'citation_count': 5766}}",['Multidiscipline'],"['Visualization', 'Text Mining', 'Visual Text Mining', 'Visual Data Mining']",['Completely Free'],"['Text Analysis', 'Report Write Up']",5766.0,200
143,robvis,"robvis is a web app designed to help authors visualize the risk-of-bias assessments performed as part of a systematic review. The resulting figures are of publication quality and are formatted according the risk-of-bias assessment tool used to perform the assessments (e.g. RoB 2, ROBINS-I, or QUADAS-2).",https://mcguinlu.shinyapps.io/robvis/,"{'Risk of bias VISualization (robvis): An R package and Shiny web app for visualizing risk of bias assessments': {'url': 'https://onlinelibrary.wiley.com/doi/full/10.1002/jrsm.1411', 'ss_id': 'ac72eaf8a191773aa26e5ef5adce4903ca299fec', 'citation_count': 222}}",['Healthcare'],['Visualization'],['Completely Free'],"['Quality Assessment', 'Report Write Up']",222.0,202
144,DoCTER,"DoCTER, ICF's Document Classification and Topic Extraction Resource, is a free web-based software application that helps explore and prioritize documents — such as abstracts from the scientific literature or social media messages — for expert review. Using algorithms from the domains of natural language processing and machine learning, DoCTER improves efficiency in tasks that involve large volumes of text.",https://www.icf-docter.com/,{},['Multidiscipline'],"['Text Mining', 'Machine Learning']",['Completely Free'],['Study Selection'],,200
145,PDQ-Evidence,"A search tool that has direct connections between systematic reviews, broad syntheses of reviews and their included studies. PDQ-Evidence is maintained by systematically searching PubMed and other databases. The aim of PDQ-Evidence is to provide rapid access to systematic reviews of health systems evidence.",http://www.pdq-evidence.org/en/,{},['Healthcare'],['No underlying approach found '],['No Cost Found. '],['No features found '],,200
146,Sample Size Search (SSS) Tool for PubMed,"A search engine designed to send queries to PubMed, retrieve results, and compute estimates of reported sample sizes using a combination of syntactical and machine learning methods. The tool is intended to be useful for advanced PubMed searches of clinical trials when the user is interested in identifying trials of a given sample size.",https://ihealth.uemc.es/,"{'Tool for filtering PubMed search results by sample size': {'url': 'https://academic.oup.com/jamia/article-abstract/25/7/774/4835460?redirectedFrom=fulltext', 'ss_id': '0b0d99ba607cc607a3726feddb8d0945e4ddf9c3', 'citation_count': 2}}",['Healthcare'],"['Search Tool', 'Machine Learning']",['Completely Free'],['Automated Search'],2.0,200
147,AND - Author Name Disambiguation,"Author-centric analyses of fast-growing biomedical reference databases are challenging due to author ambiguity. This problem has been mainly addressed through author disambiguation using supervised machine-learning algorithms. Such algorithms, however, require adequately designed gold standards that reflect the reference database properly. The developers of AND used MEDLINE to build the first unbiased gold standard in a reference database and improve over the existing state of the art in author disambiguation.  May be useful for supplementary search methods such as key author searching, particularly where authors have relatively common names.  The principles and methods can be applied to other reference databases beyond MEDLINE. The gold standard and code used for this study are available via the GitHub repository.",https://github.com/amorgani/AND/,"{'A new approach and gold standard toward author disambiguation in MEDLINE': {'url': 'https://pubmed.ncbi.nlm.nih.gov/30958542/', 'ss_id': 'd6c35a9863fcff308de74c56551bf320580938e6', 'citation_count': 9}}",['Healthcare'],['Search Tool'],['Completely Free'],['Automated Search'],9.0,200
148,topictagger,"Extracting and tagging metadata for evidence synthesis takes an average of 25.3 days for systematic maps (Haddaway and Westgate 2018). Since many types of metadata, such as location of study or focal species, also function as eligibility criteria to include studies in a synthesis, the total amount of time spent considering metadata for a systematic map could be upwards of 100 hours. topictagger partially automates the process of tagging metadata and document topics for evidence synthesis. Given a hierarchical ontology of relationships between entities, a set of articles with known topics, or a set of terms associated with a topic, topictagger will tag metadata from an ontology or classify articles by probable topics (e.g. outcomes) and return probable topics and metadata tags for each article.",https://github.com/nealhaddaway/topictagger,{},['Healthcare'],"['Visualization', 'Text Mining', 'Visual Text Mining', 'Data Mining', 'Visual Data Mining', 'Other']",['Completely Free'],"['Protocol Development', 'Automated Search']",,200
149,Graph2Data,Graph2Data was developed by integrating and customising two existing JavaScript libraries to create a new web-based graphical data extraction tool to assist reviewers in extracting data from graphs. This tool aims to facilitate more accurate and timely data extraction through a user interface which can be used to extract data through mouse clicks.  The study suggests that the incorporation of this type of tool in online systematic review software would be beneficial in facilitating the production of accurate and timely evidence synthesis to improve decision-making.,https://github.com/EPPI-Centre/Graph2Data,"{'The development and evaluation of an online application to assist in the extraction of data from graphs for use in systematic reviews': {'url': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372928/', 'ss_id': '14d0a8f8780f93237ddbfbce03e3cd94687ed595', 'citation_count': 10}}",['Multidiscipline'],['Data Mining'],['Completely Free'],['Data Extraction'],10.0,200
150,Forester,An R package to make it easy for you to create a publication-quality forest plot with as much or as little information displayed on either side as you require.,https://github.com/rdboyes/forester,{},['Multidiscipline'],['Visualization'],['No Cost Found. '],"['Meta Analysis', 'Report Write Up']",,200
151,PubReMiner,"A search tool for the PubMed literature database, which processes user queries and displays the results in a variety of analytical forms.",http://hgserver2.amc.nl/cgi-bin/miner/miner2.cgi,"{'Product Review: PubMed PubReMiner': {'url': 'http://ejournals.library.ualberta.ca/index.php/jchla/article/viewFile/22591/16819', 'ss_id': '32889bf55ec4808189bbf95a94b95a392f1fd9da', 'citation_count': 129}, 'Search filters to identify geriatric medicine in Medline': {'url': 'https://academic.oup.com/jamia/article/19/3/468/2909238', 'ss_id': 'd2a9f58bd55ceec0b92cdc35cebb3f0c8b49b1be', 'citation_count': 32}}",['Healthcare'],['Search Tool'],"['Completely Free', 'Free Version Available']","['Automated Search', 'Text Analysis']",129.0,200
152,colwiz,"Reference management software incorporating collaboration, networking and productivity features.",http://www.colwiz.com/about,"{'Review of ""Colwiz""': {'url': 'http://digitalcommons.du.edu/collaborativelibrarianship/vol3/iss3/10/', 'ss_id': 'c4e73140beb372f34b207cd911d628b3335b8f95', 'citation_count': 0}}",['Multidiscipline'],['Reference Management'],['Free Version Available'],"['Collaboration', 'Document Management']",0.0,404
153,RobotReviewer,A machine learning system that automatically assesses bias in clinical trials.,http://vortext.systems/robotreviewer,"{'RobotReviewer: evaluation of a system for automatically assessing bias in clinical trials': {'url': 'http://jamia.oxfordjournals.org/content/early/2015/06/22/jamia.ocv044', 'ss_id': '3efa84d6f4caf5ada3c9729061f266127f791b2f', 'citation_count': 119}, 'Agreement in Risk of Bias Assessment Between RobotReviewer and Human Reviewers: An Evaluation Study on Randomised Controlled Trials in Nursing?Related Cochrane Reviews': {'url': 'https://sigmapubs.onlinelibrary.wiley.com/doi/full/10.1111/jnu.12628?af=R', 'ss_id': '616c2facf3b2a0bbe40b7e878a96c3ef447d7e30', 'citation_count': 0}}",['Healthcare'],['Machine Learning'],['Completely Free'],"['Quality Assessment', 'Automated Analysis']",119.0,200
154,Medline (PubMed) trend,Provides automated yearly statistics for any PubMed search query.  Useful for mapping the history of a subject as shows when terms first appeared and the increase over time. Can also be used to analyse country and language trends.,http://dan.corlan.net/medline-trend.html,{},['Healthcare'],['Search Tool'],['Completely Free'],"['Protocol Development', 'Automated Search', 'Automated Analysis']",,200
155,Systematic Review Assistant - a prototype,Text mining tool to automate risk of bias assessments in systematic reviews.,http://www.datamining.org.uk/sysreview.html,"{'Machine learning to assist risk-of-bias assessments in systematic reviews': {'url': 'http://ije.oxfordjournals.org/content/early/2015/12/08/ije.dyv306.full.pdf+html', 'ss_id': '780ace0a5d9096a03ac9e797b961a589b3026515', 'citation_count': 26}}",['Healthcare'],"['Text Mining', 'Machine Learning']","['Completely Free', 'Free Version Available']","['Quality Assessment', 'Text Analysis']",26.0,200
156,Kaggle,"Kaggle offers a no-setup, customizable, Jupyter Notebooks environment, for data science work. Access free Graphic Processing Units and a large repository of community published data & code; over 50,000 public datasets and 400,000 public notebooks to assist with data analysis.  Kaggle is a subsidiary of Google, therefore you can register with a Google account or via email.  There is also access to self-directed micro-courses, to learn essential skills (including machine learning and data visualization  to complete your own data science projects. The courses are free, and you can earn completion certificates.  You can also take part in competition challenges to practice your data science skills.",https://www.kaggle.com/,"{'Categorization of digitized artworks by media with brain programming': {'url': 'https://pubmed.ncbi.nlm.nih.gov/32400424/', 'ss_id': '106a8cc442a42598feadf80070138fb93e033e6a', 'citation_count': 5}}",['Multidiscipline'],"['Machine Learning', 'Data Mining', 'Visual Data Mining']",['Completely Free'],['Automated Analysis'],5.0,200
157,Cytoscape,"Cytoscape is an open source software platform for complex network analysis and visualization. Originally designed for biological research, it is now a general platform for data integration, analysis, and visualization.   There is a manual, tutorials and demos available on the Cytoscape website.  Additional features are available as Apps, such as network and molecular profiling analyses, new layouts, additional file format support, scripting, and connection with databases. Most of the Apps are freely available from Cytoscape App Store.  Apps may be developed by anyone using the Cytoscape open API based on Java™ technology and App community development is encouraged. ",https://cytoscape.org/,"{'Elucidating the influence of environmentally relevant toxic metal mixture on molecular mechanisms involved in the development of neurodegenerative diseases: In silico toxicogenomic data-mining': {'url': 'https://www.sciencedirect.com/science/article/abs/pii/S0013935121000219', 'ss_id': 'e7df13cce2f9356898d99fd61b10ca5f02042156', 'citation_count': 1}}",['Multidiscipline'],"['Data Mining', 'Visual Data Mining']",['Completely Free'],['Automated Analysis'],1.0,200
158,Data Quality,A data quality framework and dataqieR package. The data quality framework comprises 34 data quality indicators. These target four aspects of data quality: compliance with pre-specified structural and technical requirements (integrity); presence of data values (completeness); inadmissible or uncertain data values and contradictions (consistency); unexpected distributions and associations (accuracy). R functions calculate data quality metrics based on the provided study data and metadata and R Markdown reports are generated.,https://dataquality.ship-med.uni-greifswald.de/,"{'Facilitating harmonized data quality assessments. A data quality framework for observational health research data collections with software implementations in R': {'url': 'https://bmcmedresmethodol.biomedcentral.com/articles/10.1186/s12874-021-01252-7', 'ss_id': '96e5f157d707c01d7f13ee1f3c71259b2fe281e3', 'citation_count': 4}}",['Healthcare'],"['Visualization', 'Text Mining', 'Visual Text Mining', 'Data Mining', 'Visual Data Mining']",['Completely Free'],['Quality Assessment'],4.0,200
